,Bleaching,Threshold,num_bits_addr,accuracy
348,True,70,13,0.87
349,True,75,13,0.86
350,True,80,13,0.87
351,True,85,13,0.85
352,True,90,13,0.84
353,True,95,13,0.83
354,True,100,13,0.82
355,True,105,13,0.82
356,True,110,13,0.83
357,True,115,13,0.84
358,True,120,13,0.83
359,True,125,13,0.81
360,True,130,13,0.81
361,True,135,13,0.77
362,True,140,13,0.79
363,True,145,13,0.79
364,True,10,14,0.75
365,True,15,14,0.84
366,True,20,14,0.86
367,True,25,14,0.86
368,True,30,14,0.85
369,True,35,14,0.87
370,True,40,14,0.88
371,True,45,14,0.86
372,True,50,14,0.88
373,True,55,14,0.86
374,True,60,14,0.87
375,True,65,14,0.86
376,True,70,14,0.85
377,True,75,14,0.84
378,True,80,14,0.85
379,True,85,14,0.87
380,True,90,14,0.85
381,True,95,14,0.83
382,True,100,14,0.84
383,True,105,14,0.84
384,True,110,14,0.86
385,True,115,14,0.86
386,True,120,14,0.84
387,True,125,14,0.83
388,True,130,14,0.84
389,True,135,14,0.82
390,True,140,14,0.83
391,True,145,14,0.82
392,True,10,15,0.82
393,True,15,15,0.87
394,True,20,15,0.87
395,True,25,15,0.86
396,True,30,15,0.86
397,True,35,15,0.87
398,True,40,15,0.85
399,True,45,15,0.83
400,True,50,15,0.86
401,True,55,15,0.83
402,True,60,15,0.86
403,True,65,15,0.84
404,True,70,15,0.82
405,True,75,15,0.83
406,True,80,15,0.84
407,True,85,15,0.84
408,True,90,15,0.83
409,True,95,15,0.82
410,True,100,15,0.86
411,True,105,15,0.86
412,True,110,15,0.84
413,True,115,15,0.84
414,True,120,15,0.85
415,True,125,15,0.82
416,True,130,15,0.85
417,True,135,15,0.85
418,True,140,15,0.86
419,True,145,15,0.85
420,True,10,16,0.77
421,True,15,16,0.85
422,True,20,16,0.85
423,True,25,16,0.85
424,True,30,16,0.86
425,True,35,16,0.86
426,True,40,16,0.86
427,True,45,16,0.82
428,True,50,16,0.82
429,True,55,16,0.84
430,True,60,16,0.82
431,True,65,16,0.81
432,True,70,16,0.82
433,True,75,16,0.81
434,True,80,16,0.84
435,True,85,16,0.82
436,True,90,16,0.78
437,True,95,16,0.8
438,True,100,16,0.79
439,True,105,16,0.79
440,True,110,16,0.81
441,True,115,16,0.8
442,True,120,16,0.82
443,True,125,16,0.8
444,True,130,16,0.83
445,True,135,16,0.82
446,True,140,16,0.82
447,True,145,16,0.8
448,True,10,17,0.8
449,True,15,17,0.84
450,True,20,17,0.89
451,True,25,17,0.89
452,True,30,17,0.87
453,True,35,17,0.86
454,True,40,17,0.86
455,True,45,17,0.87
456,True,50,17,0.86
457,True,55,17,0.88
458,True,60,17,0.87
459,True,65,17,0.86
460,True,70,17,0.86
461,True,75,17,0.88
462,True,80,17,0.88
463,True,85,17,0.85
464,True,90,17,0.82
465,True,95,17,0.83
466,True,100,17,0.82
467,True,105,17,0.84
468,True,110,17,0.85
469,True,115,17,0.84
470,True,120,17,0.82
471,True,125,17,0.82
472,True,130,17,0.82
473,True,135,17,0.79
474,True,140,17,0.82
475,True,145,17,0.8
476,True,10,18,0.79
477,True,15,18,0.8
478,True,20,18,0.86
479,True,25,18,0.89
480,True,30,18,0.88
481,True,35,18,0.89
482,True,40,18,0.87
483,True,45,18,0.85
484,True,50,18,0.89
485,True,55,18,0.85
486,True,60,18,0.86
487,True,65,18,0.87
488,True,70,18,0.83
489,True,75,18,0.87
490,True,80,18,0.86
491,True,85,18,0.85
492,True,90,18,0.86
493,True,95,18,0.87
494,True,100,18,0.85
495,True,105,18,0.87
496,True,110,18,0.86
497,True,115,18,0.87
498,True,120,18,0.85
499,True,125,18,0.85
500,True,130,18,0.83
501,True,135,18,0.81
502,True,140,18,0.79
503,True,145,18,0.79
504,True,10,19,0.76
505,True,15,19,0.88
506,True,20,19,0.88
507,True,25,19,0.86
508,True,30,19,0.86
509,True,35,19,0.88
510,True,40,19,0.84
511,True,45,19,0.83
512,True,50,19,0.83
513,True,55,19,0.83
514,True,60,19,0.84
515,True,65,19,0.83
516,True,70,19,0.83
517,True,75,19,0.83
518,True,80,19,0.84
519,True,85,19,0.85
520,True,90,19,0.84
521,True,95,19,0.85
522,True,100,19,0.84
523,True,105,19,0.79
524,True,110,19,0.85
525,True,115,19,0.84
526,True,120,19,0.84
527,True,125,19,0.83
528,True,130,19,0.81
529,True,135,19,0.8
530,True,140,19,0.8
531,True,145,19,0.8
532,True,10,20,0.74
533,True,15,20,0.82
534,True,20,20,0.87
535,True,25,20,0.85
536,True,30,20,0.85
537,True,35,20,0.85
538,True,40,20,0.86
539,True,45,20,0.87
540,True,50,20,0.83
541,True,55,20,0.83
542,True,60,20,0.87
543,True,65,20,0.86
544,True,70,20,0.85
545,True,75,20,0.83
546,True,80,20,0.85
547,True,85,20,0.87
548,True,90,20,0.86
549,True,95,20,0.84
550,True,100,20,0.85
551,True,105,20,0.84
552,True,110,20,0.85
553,True,115,20,0.84
554,True,120,20,0.85
555,True,125,20,0.79
556,True,130,20,0.8
557,True,135,20,0.8
558,True,140,20,0.78
559,True,145,20,0.76
560,True,10,21,0.78
561,True,15,21,0.85
562,True,20,21,0.85
563,True,25,21,0.87
564,True,30,21,0.88
565,True,35,21,0.85
566,True,40,21,0.86
567,True,45,21,0.86
568,True,50,21,0.86
569,True,55,21,0.85
570,True,60,21,0.84
571,True,65,21,0.82
572,True,70,21,0.81
573,True,75,21,0.84
574,True,80,21,0.84
575,True,85,21,0.84
576,True,90,21,0.82
577,True,95,21,0.84
578,True,100,21,0.86
579,True,105,21,0.86
580,True,110,21,0.85
581,True,115,21,0.84
582,True,120,21,0.83
583,True,125,21,0.78
584,True,130,21,0.8
585,True,135,21,0.81
586,True,140,21,0.79
587,True,145,21,0.77
588,True,10,22,0.71
589,True,15,22,0.84
590,True,20,22,0.84
591,True,25,22,0.87
592,True,30,22,0.88
593,True,35,22,0.87
594,True,40,22,0.88
595,True,45,22,0.88
596,True,50,22,0.87
597,True,55,22,0.88
598,True,60,22,0.87
599,True,65,22,0.86
600,True,70,22,0.86
601,True,75,22,0.84
602,True,80,22,0.8
603,True,85,22,0.82
604,True,90,22,0.83
605,True,95,22,0.81
606,True,100,22,0.82
607,True,105,22,0.83
608,True,110,22,0.83
609,True,115,22,0.8
610,True,120,22,0.78
611,True,125,22,0.8
612,True,130,22,0.78
613,True,135,22,0.8
614,True,140,22,0.8
615,True,145,22,0.78
616,True,10,23,0.71
617,True,15,23,0.81
618,True,20,23,0.86
619,True,25,23,0.86
620,True,30,23,0.84
621,True,35,23,0.85
622,True,40,23,0.85
623,True,45,23,0.85
624,True,50,23,0.84
625,True,55,23,0.83
626,True,60,23,0.85
627,True,65,23,0.86
628,True,70,23,0.83
629,True,75,23,0.82
630,True,80,23,0.81
631,True,85,23,0.79
632,True,90,23,0.8
633,True,95,23,0.75
634,True,100,23,0.78
635,True,105,23,0.81
636,True,110,23,0.79
637,True,115,23,0.82
638,True,120,23,0.81
639,True,125,23,0.82
640,True,130,23,0.8
641,True,135,23,0.81
642,True,140,23,0.8
643,True,145,23,0.83
644,True,10,24,0.78
645,True,15,24,0.81
646,True,20,24,0.82
647,True,25,24,0.83
648,True,30,24,0.86
649,True,35,24,0.87
650,True,40,24,0.87
651,True,45,24,0.86
652,True,50,24,0.88
653,True,55,24,0.84
654,True,60,24,0.84
