,Bleaching,Threshold,num_bits_addr,accuracy
500,False,130,18,0.52
501,False,135,18,0.52
502,False,140,18,0.51
503,False,145,18,0.49
504,False,10,19,0.55
505,False,15,19,0.61
506,False,20,19,0.66
507,False,25,19,0.68
508,False,30,19,0.68
509,False,35,19,0.7
510,False,40,19,0.65
511,False,45,19,0.66
512,False,50,19,0.66
513,False,55,19,0.64
514,False,60,19,0.65
515,False,65,19,0.63
516,False,70,19,0.61
517,False,75,19,0.62
518,False,80,19,0.6
519,False,85,19,0.58
520,False,90,19,0.59
521,False,95,19,0.57
522,False,100,19,0.58
523,False,105,19,0.56
524,False,110,19,0.55
525,False,115,19,0.57
526,False,120,19,0.56
527,False,125,19,0.56
528,False,130,19,0.55
529,False,135,19,0.55
530,False,140,19,0.56
531,False,145,19,0.56
532,False,10,20,0.5
533,False,15,20,0.61
534,False,20,20,0.64
535,False,25,20,0.64
536,False,30,20,0.64
537,False,35,20,0.64
538,False,40,20,0.63
539,False,45,20,0.63
540,False,50,20,0.64
541,False,55,20,0.63
542,False,60,20,0.63
543,False,65,20,0.61
544,False,70,20,0.61
545,False,75,20,0.61
546,False,80,20,0.6
547,False,85,20,0.59
548,False,90,20,0.57
549,False,95,20,0.57
550,False,100,20,0.57
551,False,105,20,0.57
552,False,110,20,0.58
553,False,115,20,0.55
554,False,120,20,0.55
555,False,125,20,0.57
556,False,130,20,0.57
557,False,135,20,0.56
558,False,140,20,0.55
559,False,145,20,0.55
560,False,10,21,0.57
561,False,15,21,0.61
562,False,20,21,0.61
563,False,25,21,0.65
564,False,30,21,0.62
565,False,35,21,0.64
566,False,40,21,0.6
567,False,45,21,0.6
568,False,50,21,0.6
569,False,55,21,0.58
570,False,60,21,0.61
571,False,65,21,0.61
572,False,70,21,0.57
573,False,75,21,0.59
574,False,80,21,0.58
575,False,85,21,0.59
576,False,90,21,0.59
577,False,95,21,0.6
578,False,100,21,0.6
579,False,105,21,0.59
580,False,110,21,0.56
581,False,115,21,0.55
582,False,120,21,0.57
583,False,125,21,0.55
584,False,130,21,0.55
585,False,135,21,0.54
586,False,140,21,0.53
587,False,145,21,0.52
588,False,10,22,0.6
589,False,15,22,0.69
590,False,20,22,0.71
591,False,25,22,0.69
592,False,30,22,0.71
593,False,35,22,0.72
594,False,40,22,0.73
595,False,45,22,0.71
596,False,50,22,0.72
597,False,55,22,0.71
598,False,60,22,0.7
599,False,65,22,0.71
600,False,70,22,0.68
601,False,75,22,0.66
602,False,80,22,0.62
603,False,85,22,0.62
604,False,90,22,0.63
605,False,95,22,0.6
606,False,100,22,0.59
607,False,105,22,0.58
608,False,110,22,0.58
609,False,115,22,0.61
610,False,120,22,0.58
611,False,125,22,0.58
612,False,130,22,0.6
613,False,135,22,0.6
614,False,140,22,0.59
615,False,145,22,0.59
616,False,10,23,0.41
617,False,15,23,0.57
618,False,20,23,0.58
619,False,25,23,0.58
620,False,30,23,0.58
621,False,35,23,0.59
622,False,40,23,0.58
623,False,45,23,0.58
624,False,50,23,0.58
625,False,55,23,0.57
626,False,60,23,0.56
627,False,65,23,0.56
628,False,70,23,0.56
629,False,75,23,0.57
630,False,80,23,0.55
631,False,85,23,0.55
632,False,90,23,0.55
633,False,95,23,0.53
634,False,100,23,0.53
635,False,105,23,0.54
636,False,110,23,0.56
637,False,115,23,0.55
638,False,120,23,0.53
639,False,125,23,0.51
640,False,130,23,0.52
641,False,135,23,0.51
642,False,140,23,0.53
643,False,145,23,0.52
644,False,10,24,0.63
645,False,15,24,0.66
646,False,20,24,0.69
647,False,25,24,0.7
648,False,30,24,0.68
649,False,35,24,0.67
650,False,40,24,0.65
651,False,45,24,0.63
652,False,50,24,0.62
653,False,55,24,0.62
654,False,60,24,0.63
655,False,65,24,0.62
656,False,70,24,0.61
657,False,75,24,0.59
658,False,80,24,0.6
659,False,85,24,0.59
660,False,90,24,0.6
661,False,95,24,0.59
662,False,100,24,0.58
663,False,105,24,0.56
664,False,110,24,0.55
665,False,115,24,0.56
666,False,120,24,0.57
667,False,125,24,0.55
668,False,130,24,0.56
669,False,135,24,0.55
670,False,140,24,0.54
671,False,145,24,0.54
672,False,10,25,0.54
673,False,15,25,0.6
674,False,20,25,0.64
675,False,25,25,0.62
676,False,30,25,0.6
677,False,35,25,0.57
678,False,40,25,0.61
679,False,45,25,0.62
680,False,50,25,0.62
681,False,55,25,0.61
682,False,60,25,0.6
683,False,65,25,0.58
684,False,70,25,0.56
685,False,75,25,0.55
686,False,80,25,0.56
687,False,85,25,0.56
688,False,90,25,0.57
689,False,95,25,0.54
690,False,100,25,0.53
691,False,105,25,0.51
692,False,110,25,0.51
693,False,115,25,0.54
694,False,120,25,0.51
695,False,125,25,0.53
696,False,130,25,0.51
697,False,135,25,0.53
698,False,140,25,0.5
699,False,145,25,0.5
700,False,10,26,0.33
701,False,15,26,0.42
702,False,20,26,0.45
703,False,25,26,0.5
704,False,30,26,0.5
705,False,35,26,0.51
706,False,40,26,0.5
707,False,45,26,0.5
708,False,50,26,0.52
709,False,55,26,0.51
710,False,60,26,0.49
711,False,65,26,0.51
712,False,70,26,0.48
713,False,75,26,0.48
714,False,80,26,0.48
715,False,85,26,0.49
716,False,90,26,0.48
717,False,95,26,0.47
718,False,100,26,0.48
719,False,105,26,0.49
720,False,110,26,0.5
721,False,115,26,0.49
722,False,120,26,0.48
723,False,125,26,0.46
724,False,130,26,0.47
725,False,135,26,0.47
726,False,140,26,0.47
727,False,145,26,0.47
728,False,10,27,0.35
729,False,15,27,0.43
730,False,20,27,0.49
731,False,25,27,0.5
732,False,30,27,0.53
733,False,35,27,0.51
734,False,40,27,0.51
735,False,45,27,0.51
736,False,50,27,0.51
737,False,55,27,0.51
738,False,60,27,0.52
739,False,65,27,0.51
740,False,70,27,0.5
741,False,75,27,0.52
742,False,80,27,0.52
743,False,85,27,0.51
744,False,90,27,0.51
745,False,95,27,0.51
746,False,100,27,0.52
747,False,105,27,0.51
748,False,110,27,0.51
749,False,115,27,0.51
750,False,120,27,0.51
751,False,125,27,0.5
752,False,130,27,0.52
753,False,135,27,0.5
754,False,140,27,0.5
755,False,145,27,0.49
756,False,10,28,0.58
757,False,15,28,0.65
758,False,20,28,0.7
759,False,25,28,0.72
760,False,30,28,0.73
761,False,35,28,0.73
762,False,40,28,0.7
763,False,45,28,0.7
764,False,50,28,0.65
765,False,55,28,0.66
766,False,60,28,0.66
767,False,65,28,0.65
768,False,70,28,0.64
769,False,75,28,0.63
770,False,80,28,0.62
771,False,85,28,0.63
772,False,90,28,0.61
773,False,95,28,0.62
774,False,100,28,0.63
775,False,105,28,0.64
776,False,110,28,0.57
777,False,115,28,0.54
778,False,120,28,0.58
779,False,125,28,0.58
780,False,130,28,0.58
781,False,135,28,0.58
782,False,140,28,0.55
783,False,145,28,0.52
784,False,10,29,0.32
785,False,15,29,0.41
786,False,20,29,0.45
787,False,25,29,0.45
788,False,30,29,0.46
789,False,35,29,0.46
790,False,40,29,0.46
791,False,45,29,0.46
792,False,50,29,0.47
793,False,55,29,0.46
794,False,60,29,0.45
795,False,65,29,0.45
796,False,70,29,0.47
797,False,75,29,0.47
798,False,80,29,0.47
799,False,85,29,0.47
800,False,90,29,0.49
801,False,95,29,0.48
802,False,100,29,0.47
803,False,105,29,0.47
804,False,110,29,0.49
805,False,115,29,0.49
806,False,120,29,0.49
807,False,125,29,0.49
808,False,130,29,0.49
809,False,135,29,0.48
810,False,140,29,0.48
811,False,145,29,0.47
812,False,10,30,0.31
813,False,15,30,0.37
814,False,20,30,0.36
815,False,25,30,0.39
816,False,30,30,0.39
817,False,35,30,0.4
818,False,40,30,0.39
819,False,45,30,0.4
820,False,50,30,0.41
821,False,55,30,0.42
822,False,60,30,0.42
823,False,65,30,0.43
824,False,70,30,0.44
825,False,75,30,0.43
826,False,80,30,0.42
827,False,85,30,0.42
828,False,90,30,0.42
829,False,95,30,0.42
830,False,100,30,0.4
831,False,105,30,0.4
832,False,110,30,0.41
833,False,115,30,0.41
834,False,120,30,0.39
835,False,125,30,0.38
836,False,130,30,0.4
837,False,135,30,0.41
838,False,140,30,0.4
839,False,145,30,0.39
840,False,10,31,0.4
841,False,15,31,0.52
842,False,20,31,0.59
843,False,25,31,0.57
844,False,30,31,0.54
845,False,35,31,0.53
846,False,40,31,0.54
847,False,45,31,0.55
848,False,50,31,0.56
849,False,55,31,0.54
